행정구역별(1),연령별(1),2020,2021,2022,2023,2024
수원시,10 - 14세,"55,860","56,298","55,915","54,833","53,974"
수원시,15 - 19세,"62,896","58,130","56,179","56,239","55,259"
수원시,20 - 24세,"88,047","85,828","82,030","77,358","73,616"
수원시,25 - 29세,"102,084","102,417","101,801","101,105","99,945"
수원시,30 - 34세,"89,768","89,533","93,632","98,088","100,964"
수원시,35 - 39세,"99,039","93,552","88,909","85,985","85,740"
수원시,40 - 44세,"98,342","98,746","100,463","100,452","98,643"
수원시,45 - 49세,"108,117","103,312","99,484","96,143","93,560"
수원시,50 - 54세,"105,436","107,109","108,277","108,818","106,531"
수원시,55 - 59세,"97,142","94,924","95,932","94,532","98,576"
수원시,60 - 64세,"74,736","81,609","84,946","89,417","89,529"
수원시,65 - 69세,"45,912","50,785","54,283","58,969","64,720"
,,"597,844","587,176","586,697","584,018","584,014"
성남시,10 - 14세,"39,810","40,374","40,159","39,896","39,739"
성남시,15 - 19세,"44,633","41,059","40,113","40,064","39,450"
성남시,20 - 24세,"58,555","56,803","53,342","50,019","47,666"
성남시,25 - 29세,"69,841","69,216","66,730","65,723","64,536"
성남시,30 - 34세,"64,465","64,534","65,611","67,120","68,308"
성남시,35 - 39세,"70,873","67,755","64,867","62,717","61,714"
성남시,40 - 44세,"71,051","71,774","72,745","73,626","72,833"
성남시,45 - 49세,"83,331","78,094","74,438","71,327","69,206"
성남시,50 - 54세,"79,739","81,280","82,675","82,965","81,006"
성남시,55 - 59세,"75,495","72,847","71,994","70,453","72,666"
성남시,60 - 64세,"66,407","70,155","71,078","72,003","70,981"
성남시,65 - 69세,"43,783","47,808","50,984","54,406","58,016"
,,"555,144","554,247","554,392","554,617","554,730"
용인시,10 - 14세,"58,587","59,824","59,561","58,710","58,253"
용인시,15 - 19세,"60,635","56,353","55,401","57,120","57,343"
용인시,20 - 24세,"72,970","74,060","71,111","66,873","63,793"
용인시,25 - 29세,"67,986","69,909","70,490","71,615","71,948"
용인시,30 - 34세,"63,187","63,076","64,162","67,049","69,711"
용인시,35 - 39세,"85,609","79,820","74,233","71,167","70,282"
용인시,40 - 44세,"92,782","93,728","94,136","94,498","93,272"
용인시,45 - 49세,"102,134","99,143","96,332","93,700","91,343"
용인시,50 - 54세,"87,379","92,614","96,777","99,737","100,604"
용인시,55 - 59세,"72,463","72,724","74,743","76,750","82,199"
용인시,60 - 64세,"59,397","63,910","65,865","69,298","70,625"
용인시,65 - 69세,"43,776","47,346","49,446","52,468","56,422"
,,"606,727","612,361","615,694","624,667","634,458"
,,,,,,
,,,,,,
,,,,,,
,,"1,161,871","1,166,608","1,170,086","1,179,284","1,189,188"
